Time,Down,Type,Yards,Details,Calgary,Saskatchewan
15:00,0,Kickoff,17,Chris Milo kicks off to the Cgy18. Sederrik Cunningham return for 17 yards to Cgy35. Tackled by Shomari Williams.,0,0
14:54,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy39. Tackled by Brian Peters.,0,0
14:10,2,Pass,4,Drew Tate pass to Maurice Price for 4 yards to the Cgy43. Tackled by Macho Harris.,0,0
13:27,3,Punt,4,Rob Maver punts for 55 yards to Ssk12. Weston Dressler return for 4 yards to Ssk16. Tackled by Keenan MacDougall.,0,0
13:19,1,Rush,6,Anthony Allen rush for 6 yards to the Ssk22. Tackled by Juwan Simpson.,0,0
13:00,2,Rush,7,Anthony Allen rush for 7 yards to the Ssk29. Tackled by Juwan Simpson.,0,0
12:25,1,Rush,5,Anthony Allen rush for 5 yards to the Ssk34. Tackled by DeQuin Evans.,0,0
12:03,2,Incomplete Pass,0,Seth Doege incomplete pass intended for  .,0,0
11:18,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Shomari Williams) -5 yards.,0,0
11:08,3,Holding,2,Chris Milo punts for 36 yards to Cgy45. Sederrik Cunningham return for 12 yards to Ssk53. Penalty: Holding on Calgary (Brad Sinopoli) -10 yards.,0,0
10:39,0,Pass Interference,10,Penalty: Pass Interference on Saskatchewan (Brandon Boudreaux) 10 yards.,0,0
10:16,1,Rush,11,Jon Cornish rush for 11 yards to the Ssk42. Tackled by Derek Walker.,0,0
09:45,1,Rush,5,Anthony Parker rush for 5 yards to the Ssk37. Tackled by Brian Peters.,0,0
09:17,2,Pass,12,Drew Tate pass to Jeff Fuller for 12 yards to the Ssk25. Tackled by Rod Williams.,0,0
08:52,1,Sack,-8,Sack at Ssk33 for a loss of 8 yards by Tearrius George.,0,0
08:21,0,Holding,-10,Penalty: Holding on Calgary (Shane Bergman) -10 yards.,0,0
07:49,2,Unnecessary Roughness,-1,Jon Cornish rush for 14 yards to the Ssk29. Tackled by Chad Kilgore. Penalty: Unnecessary Roughness on Calgary (Nik Lewis) -15 yards.,0,0
07:25,3,Clipping,25,44 yard field goal attempt by Rene Paredes is NO GOOD.  Missed field goal returned by Tristan Jackson to the Ssk40. Penalty: Clipping on Saskatchewan (Rod Williams) -15 yards.,0,0
06:57,1,Pass,-3,Seth Doege pass to Weston Dressler for a loss of 3 yards to the Ssk22. Tackled by Jamar Wall.,0,0
06:00,0,Safety,-22,"FUMBLE Sack at Ssk6 for a loss of 16 yards by Shawn Lemon., recovered by Ssk (Ben Heenan). Safety.",2,0
05:35,0,Kickoff,26,Chris Milo kicks off to the Cgy30. Sederrik Cunningham return for 26 yards to Ssk54. Tackled by Brian Peters.,2,0
05:19,1,Rush,2,Jon Cornish rush for 2 yards to the Ssk52. Tackled by Ricky Foley.,2,0
04:55,2,Pass,1,Drew Tate pass to Jon Cornish for 1 yard to the Ssk51. Tackled by Tyron Brackenridge.,2,0
04:18,3,No Yards,39,Rob Maver punts for 44 yards to Ssk7. Penalty: No Yards on Calgary (Karl McCartney) -5 yards.,2,0
