Time,Down,Type,Yards,Details,Toronto,Winnipeg
15:00,0,Kickoff,20,Josh Jasper kicks off to the Wpg9. Paris Cotton return for 20 yards to Wpg29. Tackled by Gregory Jones.,0,0
14:53,1,Rush,0,Nic Grigsby rush for no gain to the Wpg29. Tackled by Shane Horton.,0,0
14:14,2,Pass,23,Drew Willy pass to Julian Feoli-Gudino for 23 yards to the Wpg52. Tackled by Matt Black.,0,0
13:34,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,0,0
13:17,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,0,0
12:57,3,No Yards,35,Brett Maher punts for 50 yards to Tor8. Penalty: No Yards on Winnipeg (Desia Dunn) -15 yards.,0,0
12:35,1,Face Mask,32,Trevor Harris pass to Robert Gill for 17 yards to the Tor40. Tackled by Alex Suber. Penalty: Face Mask on Winnipeg (Alex Suber) 15 yards.,0,0
12:16,1,Pass,8,Trevor Harris pass to Darvin Adams for 8 yards to the Wpg47. Tackled by Matt Bucknor.,0,0
11:33,0,Holding,-10,Penalty: Holding on Toronto (Jeremy Lewis) -10 yards.,0,0
11:17,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Jarred Fayson.,0,0
10:59,3,Face Mask,17,Josh Jasper punts for 52 yards to Wpg5. Aaron Woods return for 2 yards to Wpg7. Penalty: Face Mask on Toronto (Eric Black) 15 yards.,0,0
10:44,1,Pass,47,Drew Willy pass to Clarence Denmark for 47 yards to the Tor41. Tackled by Alonzo Lawrence.,0,0
10:03,1,Rush,5,Nic Grigsby rush for 5 yards to the Tor36. Tackled by Cleyon Laing.,0,0
09:29,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,0
08:48,3,Missed Field Goal,43,Lirim Hajrullahu 43 yard field goal attempt is GOOD.,0,3
08:48,0,Kickoff,13,Lirim Hajrullahu kicks off to the Tor12. Andre Snipes-Booker return for 13 yards to Tor25. Tackled by Carl Fitzgerald.,0,3
08:43,1,Rush,7,Curtis Steele rush for 7 yards to the Tor32. Tackled by Desia Dunn.,0,3
08:12,2,Pass,16,Trevor Harris pass to Darvin Adams for 16 yards to the Tor48. Tackled by Matt Bucknor.,0,3
07:36,1,Rush,6,Curtis Steele rush for 6 yards to the Tor54. Tackled by Ian Wild.,0,3
07:05,2,Pass,7,Trevor Harris pass to Jarred Fayson for 7 yards to the Wpg49. Tackled by Alex Suber.,0,3
06:24,1,Pass,8,Trevor Harris pass to Curtis Steele for 8 yards to the Wpg41. Tackled by Ian Wild.,0,3
05:43,2,Face Mask,17,Curtis Steele rush for 2 yards to the Wpg39. Penalty: Face Mask on Winnipeg (Korey Banks) 15 yards.,0,3
05:18,1,Rush,6,Curtis Steele rush for 6 yards to the Wpg18. Tackled by Demond Washington.,0,3
